id,title,boat_details,rate,contact_info,platform,location,listing_url
001,Hunter Legend 35 Cruising Motorsail Yacht,"Hunter Legend 35 Motorsail Yacht; 35ft/55ft mast; capacity 6 guests; wing keel; bluetooth/wifi; large fridge; swimming ladder with hot/cold shower; water toys included (paddle board, windsurf, surf, snorkel, floaty toys); USCG Captain; sailing lessons available; slip near Jack Island/Long Island Sound; operates sunrise to sunset","$220/hour weekends & holidays (weekday discounts available)",Contact via GetMyBoat messaging platform (Owner: MARCO, Superowner),GetMyBoat,"Stamford, CT (slip across from Jack Island, Long Island Sound)",https://www.getmyboat.com/trips/ZNGlnBZa/
002,24ft Cobia Center Console Versatility,"Cobia 220 CC 24ft Center Console; capacity 8 guests; Bluetooth sound system; GPS ChartPlotter; rod holders & fish storage; cooler with ice & waters; new upholstery; great for fishing/cruising/sunset charters/exploring Stamford Norwalk Islands & Long Island Sound","$200/hour (self-captain fuel included for local range). Captain option: $50/hr + gratuity + $25/hr minimum fuel charge. Free cancellation up to 5 days before trip.",Contact via GetMyBoat messaging platform (Owner: LUKE, 35 bookings),GetMyBoat,"4 Star Point Stamford, CT 06902 (Long Island Sound area)",https://www.getmyboat.com/trips/rYD6vw1N/
003,32' Luxurious Yacht Certified Express Cruiser,"Rinker 290 Express Cruiser 32ft Motor Yacht; capacity 8 guests (up to 10 on deck); cabin sleeps 4 with 6ft+ headroom; kitchenette (fridge/microwave/freshwater sink); full bathroom with shower; retractable bimini top; cockpit cooler & freshwater sink; bow cushion for sunbathing; 6 JL Audio speakers with Bluetooth; swimming platform with rear-facing seat; Great for: Family Time/Relaxation/Sightseeing/Swimming","$300/hour. Complimentary ice & bottled water included. Optional: food/drink stocking $50+cost; Floating mat (18x6ft) $100 extra; 2 stand-up paddleboards $50/piece extra. Free cancellation up to 5 days before. Fully refundable due to rain.",Contact via GetMyBoat messaging platform (Owner: JOSEPH; 18 bookings),GetMyBoat,"4 Star Point Stamford, CT 06902",https://www.getmyboat.com/trips/GaZ8dvkK/
004,30ft 2022 Pontoon w/ Slide - Stamford CT Charter Specialists,"Aloha Tropical Sundeck 260 30ft Pontoon (2022 model); capacity 10 guests; Waterslide built-in; Bluetooth audio sound system; Floating mat included; Jet Ski(s) available; GPS ChartPlotter & Depth Sounder; Cooler with ice & water; Great for: Family Time/Party-Entertainment/Swimming/Relaxation. Captain-only charter (no self-captain). Unsafe conditions (high winds/lightning) = reschedule/refund.","$300/hour + $50/hr crew fee + 10% gratuity minimum of base price due at dock. Includes: boat, ice & water, captain selection list. Free cancellation up to 5 days before trip.",Contact via GetMyBoat messaging platform (Owner: LUKE, 15 bookings, former Boatsetter pro),GetMyBoat,"The Village Dock, 4 Star Point Stamford, CT 06902",https://www.getmyboat.com/trips/WYb44e1N/
005,Customized Boating Adventure on the Sound - 25ft Seacraft Pacific Center Console,"Seacraft Pacific 25 25ft Center Console; twin outboards; capacity 6 guests; GPS ChartPlotter; Bluetooth Sound System; Fish Finder; Ski Gear; Great for: Sunset Cruising/Watersports/Fishing/Sightseeing. Dog Friendly. Beach Island nearby (dogs welcome). USCG Licensed Captain with 10+ years experience. Dock & dine options: Cisco Brewery, Prime, Crab Shell, The Wheel, Playlands Tiki Bar, Northport LI.","$250/hour. Captain required & included in pricing. Free cancellation up to 5 days before trip. Renter assumes full liability.",Contact via GetMyBoat messaging platform (Owner: ALEX, USCG Licensed Captain, 21 bookings, 10+ years experience),GetMyBoat,"333 Ludlow Street, Stamford, CT 06902",https://www.getmyboat.com/trips/GaZ86R3K/
006,Sailing JOURNEY on the Sound,"J Boats J/32 32ft Sailboat Sloop; capacity 6 guests; 1 cabin; head (bathroom) with fresh water hot shower; cold refrigerator; Bluetooth stereo; latest electronic navigation package; Autopilot; Dinghy/Tender; GPS ChartPlotter; Paddleboards; Sun Protection; Toilets. Skippered by USCG 100 gross ton master mariner + RYA 200 ton Yachtmaster license (collegiate sailing coach). Free parking at dock. Great for: Sightseeing/Sunset Cruising/Couples/Relaxation","$262/hour. Price includes yacht, captain, fuel, snacks, water, kids activities, yacht prep. Free cancellation up to 2 days before trip.",Contact via GetMyBoat messaging platform (Owner: YORK, former collegiate sailing coach; USCG 100 ton + RYA 200 ton licenses),GetMyBoat,"123 Harbor Drive, Stamford, CT 06902",https://www.getmyboat.com/trips/qK0e8oyN/
007,Hunter Marine Passage 450 - Sail from Norwalk/Westport CT,"Hunter Marine Passage 450 sailboat; Center cockpit sloop-rigged; capacity 12 guests; hull speed 8.4 knots; in-mast furling main & furling jib; full Bimini + raised solar panels covering entire aft deck; aft steps with hot/cold shower; full galley with microwave; 6 specific chairs on aft deck + 2 on towels under solar panels; large center cockpit seats 8; several cushioned chase lounge seating; ice-filled coolers, water bottles, Crystal Light iced tea; Great for: Sunset Cruising/Sightseeing/Relaxation/Families. Captain grew up on Hudson River & Long Island Sound, 25 years South Florida. Teaching captain. Boat can be repositioned to Northport/Huntington NY, City Island, Port Washington, Brooklyn, Jersey City.",$200/hour (Superowner - per person and per hour discounted pricing for partial days available especially out of Port Washington LI where boat is based),"Contact via GetMyBoat messaging platform (Owner: MARK, Superowner, 192 bookings. Captain is teaching captain, entertainer, musician, engineer/CPA/code writer consultant)",GetMyBoat,"Norwalk/Westport, CT (boat can be repositioned across the sound)",https://www.getmyboat.com/trips/BN9p61bK/
008,Great times around Norwalk Westport and Rowayton - BEST RATES BEST REVIEWS,"Bertram Sport Fish Motor Yacht; capacity 6 guests; 1 cabin; 1 toilet (roomy stand-up head/bathroom); comfortable roomy layout; plenty of blow-up floats included; Great for: Party/Entertainment/Swimming/Sightseeing/Large Groups. Island-hopping to nearby Norwalk islands with swimming and shore exploration. Evening sunset trips available.",$235/hour (1-6 passengers) + possible fuel charge. Free cancellation up to 2 days before trip.,"Contact via GetMyBoat messaging platform (Owner: MARK, 63 bookings, knowledgeable about local waters)",GetMyBoat,"48 Calf Pasture Beach Road, Norwalk, CT 06855 (departure: 41.117744,-73.4081575 Norwalk CT 06851)",https://www.getmyboat.com/trips/BK1ebeQK/
009,Sunset 3-6 Hour Cruises on Spacious Cruiser - Norwalk Westport Rowayton CT,"Chris-Craft 328 Express Cruiser 33ft Motor Yacht (M/V DRIFT); capacity 6 guests; twin engine wide beam; air conditioned cabin with seating and bed space; Bluetooth sound system; refrigerator & freezer; hot water shower & restroom; retractable shade top; soft foam floor; extra large swim platform; lounging sun pad; GPS ChartPlotter; Generator; BBQ; Fish Finder; Paddleboards available; USCG licensed Captain; Great for: Sightseeing/Sunset Cruising/Swimming/Date Nights. Sunset Cruises, Lighthouse Tours, 3-6 Hour Charters. Professional food catering available with 48+ hours notice.","$350+/hour (mid-week lighthouse tour discounts available). Cancellation: 100% refund 7+ days prior (less processing fees); 50% refund 3-10 days prior; less than 3 days = no refund.",Contact via GetMyBoat messaging platform (Owner: MATT/CAPTAIN, USCG licensed captain, 30+ years boating, 20 year business owner; 9 bookings),GetMyBoat,"46 Calf Pasture Beach Road, Norwalk, CT 06855",https://www.getmyboat.com/trips/6KPAAVLN/
010,Robalo 207 Center Console for Rent in Norwalk,"Robalo 207 Center Console; capacity 6 guests; SELF-CAPTAIN (customer provides or acts as qualified operator); open deck center-console layout; Great for: Family Time/Sightseeing/Fishing/Relaxation. Scenic CT coastline cruising. Fuel: renters responsible for returning to dock with same fuel level as arrival.",$200/hour (fuel NOT included - renter returns with same fuel level). Free cancellation up to 5 days before trip.,"Contact via GetMyBoat messaging platform (Owner: BENJAMIN, 4 bookings)",GetMyBoat,"184-200 Connecticut 136, Norwalk, CT 06855",https://www.getmyboat.com/trips/8K5pmg9Y/
011,Welcome aboard embark on our 38ft charter relax and enjoy Sunsets Cruises,"Sea Ray 38 Sundancer 38ft Motor Yacht; capacity 6 guests; 1 cabin; 1 toilet; air conditioned cabin below; GPS ChartPlotter; Inverter; Generator; BBQ; Oven; Wi-Fi; Bluetooth Sound System; Fish Finder; Jet Ski(s); Paddleboards; Great for: Celebrations/Relaxation/Sightseeing/Sunset Cruising. Destinations across Long Island Sound (CT & LI coasts). Waterfront dining restaurant suggestions available. Anchor at beachfront for swimming/floating. Float pads/noodles/water pads/inflatables included. Captain has AED/CPR/First Adults & Pediatrics certification.",$285+/hour. Complimentary ice & bottled water. Optional: food/drink stocking $50+cost; Floating mat $100 extra; Stand-up paddleboards $50/piece. Fuel charges apply for charters >4 hours. Gratuities/tips not included & appreciated. Free cancellation 5+ days (100% refund less 5% processing); 5 days = 50% refund; <3 days = deposit forfeit.,"Contact via GetMyBoat messaging platform (Owner: MITCH/CAPTAIN MITCH, 30+ years chartering Long Island Sound, 2 bookings)",GetMyBoat,"25 South Smith Street, Norwalk, CT 06855 (Long Island Sound departure)",https://www.getmyboat.com/trips/BN9jM9ya/
012,Welcome aboard on our 33ft charter have fun relax & enjoy Sunset Cruises,"Sea Ray 330 Sundancer 33ft Motor Yacht; capacity 6 guests; 1 cabin; 1 toilet; air conditioned cabin below; GPS ChartPlotter; Inverter; BBQ; Oven; Wi-Fi; Bluetooth Sound System; Fish Finder; Great for: Sunset Cruising/Sightseeing/Families/Corporate Events. Destinations across Long Island Sound (CT & LI coasts). Anchor at beachfront for swimming/floating. Float pads/noodles/water pads/inflatables included. USCG licensed Captain (OUPV + Master License), AED/CPR/First Aid certified.",$265+/hour. Complimentary ice & bottled water. Optional: food/drink stocking $50+cost; Floating mat $100 extra; Stand-up paddleboards $50/piece. Fuel charges apply for charters >4 hours. Gratuities/tips not included & appreciated. Free cancellation 5+ days (100% refund less 5% processing); <5 days = 50% refund; <3 days = deposit forfeit.,"Contact via GetMyBoat messaging platform (Owner: MITCH/CAPTAIN MITCH, 30+ years chartering Long Island Sound, OUPV+Master License, AED/CPR/First Aid certified; 2 bookings)",GetMyBoat,"23 Platt Street, Norwalk, CT 06855",https://www.getmyboat.com/trips/JK7g9P3K/
013,Explore Norwalk Islands on a Paddleboard from Calf Pasture Beach,"Breeze Big Sport rigid inflatable Stand-Up Paddleboard 11ft; 2 boards available; capacity 2 guests; customizable paddle length for different height users; life jackets included; comes fully inflated and ready; Self-Captain/independent exploration; Great for: Adventure Seekers/Sightseeing/Couples/Relaxation",$25/hour. Free cancellation up to 5 days before trip. Last minute bookings welcome.,"Contact via GetMyBoat messaging platform (Owner: CAPTAIN MATT, 9 bookings, 30+ years boating)",GetMyBoat,"14 Canfield Avenue, Norwalk, CT 06855",https://www.getmyboat.com/trips/DYeZx24K/
014,Hunter Legend 35 Sailboat Cruiser (Sailo),Hunter Legend 35 36ft Sailboat Cruiser (1988); capacity 6 guests; Captain included; 5.0 rating (13 reviews); Stamford CT,$460 per quarter day (approx $115/hr),Book via Sailo platform,Sailo,"Stamford, Connecticut",https://www.sailo.com/boats/Stamford_CT/Sail/rental_boat_52696/
015,122ft Historic Motor Yacht Events - Stamford (Sailo),122ft Motor Yacht (1926); capacity 90 guests; Captain included; Historic event vessel; Stamford CT,"$4,000 per quarter day",Book via Sailo platform,Sailo,"Stamford, Connecticut",https://www.sailo.com/boats/Stamford_CT/Motor/rental_boat_101800/
016,Beneteau Oceanis 373 - Sunset Sail Stamford (Sailo),Beneteau Oceanis 373 37ft Sailboat (2005); capacity 6 guests; Captain included; 5.0 rating (1 review); Sunset/Day sail; Stamford CT,"$1,170 per half day",Book via Sailo platform,Sailo,"Stamford, Connecticut",https://www.sailo.com/boats/Stamford_CT/Sail/rental_boat_76430/
017,Regal 3360 - Day Trips & Dinner Cruises (Sailo),"Regal 3360 35ft Motor Yacht (2005); capacity 6 guests; Captain included; 5.0 rating (1 review); Day trips, NYC sightseeing, dinner cruises; Stamford CT","$1,200 per half day",Book via Sailo platform,Sailo,"Stamford, Connecticut",https://www.sailo.com/boats/Stamford_CT/Motor/rental_boat_53233/
018,Egg Harbor 48 - Long Island Sound Cruiser (Sailo),Egg Harbor 48 48ft Motor Yacht (1983); capacity 12 guests; Captain included; 5.0 rating (1 review); Long Island Sound cruises; Stamford CT,"$1,600 per quarter day",Book via Sailo platform,Sailo,"Stamford, Connecticut",https://www.sailo.com/boats/Stamford_CT/Motor/rental_boat_2469/
019,122ft Historic Motor Yacht Events - Greenwich (Sailo),122ft Motor Yacht (1926); capacity 90 guests; Captain included; Historic event vessel; Greenwich CT,"$4,000 per quarter day",Book via Sailo platform,Sailo,"Greenwich, Connecticut",https://www.sailo.com/boats/Greenwich_CT/Motor/rental_boat_40947/
020,Tartan 33 - Greenwich Harbor Sail (Sailo),Tartan 33 33ft Sailboat (1980); capacity 6 guests; Captain included; Classic sailboat; Greenwich Harbor,"$2,520 per day",Book via Sailo platform,Sailo,"Greenwich, Connecticut",https://www.sailo.com/boats/Greenwich_CT/Sail/rental_boat_981/
021,Mako 26 - Speed Runabout Greenwich (Sailo),Mako 26 26ft Motorboat (1995); capacity 6 guests; Captain included; Speed runs around Greenwich Harbor and Long Island Sound,"$2,520 per day",Book via Sailo platform,Sailo,"Greenwich, Connecticut",https://www.sailo.com/boats/Greenwich_CT/Motor/rental_boat_982/
022,12 Meter Racing Yacht - America's Cup (Sailo),Ian Howlett 12 Meter 67ft Racing Sailboat (1978); capacity 12 guests; Captain included; Classic Americas Cup yacht; Match race experience; Greenwich CT,"$4,000 per day",Book via Sailo platform,Sailo,"Greenwich, Connecticut",https://www.sailo.com/boats/Greenwich_CT/Sail/rental_boat_969/
023,Formula Super Sport 42 - Express Cruiser (Sailo),Formula Super Sport 42ft Motor Yacht (2008); capacity 6 guests; Captain included; Greenwich to NYC express cruises; extraordinary service,"$1,100 per quarter day",Book via Sailo platform,Sailo,"Greenwich, Connecticut",https://www.sailo.com/boats/Greenwich_CT/Motor/rental_boat_945/
024,Maxum 3000 Cruiser Yacht (Sailo),Maxum 3000 33ft Motor Yacht (1998); capacity 8 guests; Captain included; Luxury and style cruiser; Greenwich CT,"$1,000 per quarter day",Book via Sailo platform,Sailo,"Greenwich, Connecticut",https://www.sailo.com/boats/Greenwich_CT/Motor/rental_boat_44931/
025,Cruisers Yachts 420 Express - Cos Cob (Sailo),Cruisers Yachts 420 Express 42ft Motor Yacht (2007); capacity 6 guests; Captain included; 5.0 rating (6 reviews); Cos Cob/Greenwich area,"$1,100 per quarter day",Book via Sailo platform,Sailo,"Cos Cob, Connecticut (Greenwich area)",https://www.sailo.com/boats/Cos_Cob_CT/Motor/rental_boat_5301/
026,122ft Historic Motor Yacht Events - Norwalk (Sailo),122ft Motor Yacht (1926); capacity 90 guests; Captain included; Historic event venue vessel; Norwalk CT,"$4,000 per quarter day",Book via Sailo platform,Sailo,"Norwalk, Connecticut",https://www.sailo.com/boats/Norwalk_CT/Motor/rental_boat_101801/
027,"Winedown aboard our 33ft charter relax & enjoy Sunset Cruises","Sea Ray 330 Sundancer 33ft Motor Yacht (2008); capacity 6 guests; 1 cabin; 1 bathroom; Bluetooth audio; Floating mat; Inflatable toys; Cooler/Ice chest; Air conditioning; Swim ladder; Jet Ski; Children's life jackets; Kayaks; Fishing gear; Shower; Rod holders; USCG Licensed Captain (AED/CPR/First Aid certified); Customizable destinations across Long Island Sound; Anchor at beachfront for swimming/floating","$710/2hr ($355/hr base) - $2,435/8hr. Fuel not included. Security deposit $1,000. Free cancellation 24hr before. Instant book available. Add-ons: Floating mat $50, Inflatable toy $50, Transportation $50.","Contact via Boatsetter (Owner: Captain Mitch, 25+ years boating, USCG Verified, Response rate 67%, Avg response <48hrs)",Boatsetter,"Norwalk, CT","https://www.boatsetter.com/boats/mclqmjv"
028,"37FT New Luxury French Yacht","Beneteau USA Antares 11 Fly 37ft Motor Yacht (2021); capacity 6 guests; Female owned; Dual 300 outboard engines; Radar; Spotlight; FLIR night vision; VHF radio; Windlass anchor; Joystick steering; Multiple lounging areas (bow, pilot cabin, aft lounge, flybridge); Bathroom; Refrigerators; Freezer; Cooktop; Freshwater sink; Kitchen gear; 2 sleep cabins; 2 floating 6x8 swim platforms; 2 paddleboards; Outdoor shower; Cooler space; Bluetooth sound system; 6x8 floating dock; WiFi; Air conditioning; Pets allowed; Great for: Family Time/Sunset Cruising/Business Meetings/Relaxation. Destinations: Norwalk Islands, Westport CT Gold Coast. Gas included for Norwalk Islands lounging.","$890/2hr ($445/hr) - $2,560/8hr ($320/hr). Fuel not included generally, but gas INCLUDED for Norwalk Islands lounging. Security deposit: $1,000. Free cancellation 24hr before.","Contact via Boatsetter (Owner: Captain Sandy, TOP OWNER, female captain, 18 yrs boating, 5.0 rating/31 bookings, 100% response rate, USCG Verified, Avg response <3hrs)",Boatsetter,"Norwalk, CT","https://www.boatsetter.com/boats/wpxqfqh"
029,"2022 30ft Pontoon w/ Slide","Avalon Pontoons Aloha Tropical Sundeck 260 30ft Pontoon (2022 model); capacity 10 guests; Waterslide built-in; Bluetooth audio sound system; Floating mat; GPS ChartPlotter; VHF Radio; Depth finder; Cooler with ice and water; Children's life jackets; Swim ladder; 2022 model; Second season at The Village Dock Stamford; Former Boatsetter professionals from South Florida (2,000+ charters, 300+ five-star reviews); Great for: Family Time/Party-Entertainment/Sunset Cruises/Celebrations","$650/2hr ($325/hr) - $1,900/8hr ($237/hr). Fuel included. Due at dock: Crew fee $50/hr + Gratuity 10% minimum of base price. Included: boat, ice and water, captain selection. Security deposit: $500. Moderate cancellation: 100% refund 5+ days, 50% refund 3-5 days.","Contact via Boatsetter (Owner: Luke, former Boatsetter pro, 5.0 rating/190 bookings, 98% response rate, Avg response <5hrs)",Boatsetter,"Stamford, CT","https://www.boatsetter.com/boats/mggttsx"

030,"Luxury Cruising - Lets go boating in Norwalk Rowayton Westport","Chris Craft 328 Express Cruiser 33ft Motor Yacht (2001); capacity 6 guests; 1 cabin; Twin engine wide beam; Air conditioned cabin; Refrigerator and freezer; Hot water shower and Restroom; Retractable shade top; Soft foam floor; Extra large swim platform; Lounging sun pad; GPS ChartPlotter; Bluetooth audio; Floating mat; Paddleboards; Inflatable toys; Cooler/Ice chest; Shower; Anchor; USCG licensed professional captain; CPR/AED trained; Sunset Cruises, Lighthouse Tours, 4-8 hour Charters; Professional food catering available with 48+ hours notice","$850/2hr ($425/hr) - $2,300/6hr ($383/hr). Fuel included. Security deposit: $500. Moderate cancellation: 100% refund 5+ days, 50% refund 3-5 days. Add-ons: Floating mat $50, Paddleboard $40.","Contact via Boatsetter (Owner: Matt, 5.0 rating/6 bookings, 97% response rate, Avg response <5hrs, CPR/AED trained, 18+ years business experience)",Boatsetter,"Norwalk, CT","https://www.boatsetter.com/boats/fsgqdml"
031,"Private trip Stamford CT near New York on Beautiful Sailing Yacht","Beneteau USA Beneteau 373 37ft Sailboat (2005); 2 cabin; capacity 6 guests; USCG Certified Captain Jonathan with 54 years sailing experience (2000 miles Atlantic coastline, 15 years yacht racing); Perfect safety record; GPS ChartPlotter; Bluetooth audio; Air conditioning; Refrigerator; Wifi; Tender; Shower; Deck shower; Swim ladder; Fishing gear; Children's life jackets; Cooler/Ice chest; Anchor; Bathroom; Stereo; Great for: Sunset Cruises/Day Trips/Anniversary/GNO/Family bonding; Learn to sail hands on; Coast Guard inspected vessel","$637/2hr ($318/hr) - $1,530/8hr ($191/hr). Fuel included. Security deposit: $1,000. Free cancellation 24hr before. Catering available on request.","Contact via Boatsetter (Owner: Jonathan, USCG Certified, 54 yrs sailing experience, 0% response rate, Avg response >48hrs)",Boatsetter,"Stamford, CT","https://www.boatsetter.com/boats/tckhvnv"
032,"HUNTER LEGEND 35 SAILBOAT CRUISER MOTORSAILER","Hunter 35 Legend 36ft Sailboat Motorsailer (1988); capacity 6 guests; 2 cabins; 1 full head; 55 ft mast; wing shoal keel; new sails; totally upgraded; Wifi; Bluetooth; Full galley; Fridge; Large saloon; TV; Skylight; Feels much larger than most 35s; Hot shower at transom; Swimming ladder; Watersports gear; Inflatables; 3 Bluetooth devices; Paddleboards; Snorkeling gear; Floating island; Rod holders; USCG Licensed Captain MARCO","$510/2hr ($255/hr) - $1610/8hr ($201/hr). Fuel included. Security deposit: $1000. Free cancellation 24hr before.","Contact via Boatsetter (Owner: MARCO, 5.0 rating/13 bookings, 100% response rate, Avg response <5hrs, USCG Verified, 11 trips completed)",Boatsetter,"Stamford, CT","https://www.boatsetter.com/boats/bxlqddw"
